trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-89.48875518878489,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-167.0245131581319,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-159.17705038452908,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.9139311852712282}",30,0,-71.52562250646046,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.8869204367171575}",25,0,-161.99669709667805,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.8607079764250578}",30,0,-125.62316045713858,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.835270211411272}",20,0,-123.73588847511542,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.8105842459701871}",30,0,-51.413161578333664,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,8,-59.56245858997053,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.6, 'e': 0.7633794943368531}",20,0,-40.22204540270359,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.7408182206817179}",35,0,-187.75731693908656,"{0: 26, 1: 0, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.6, 'e': 0.7189237334319262}",25,11,-36.56193774230515,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.697676326071031}",25,0,-162.36292738948427,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.6770568744981647}",20,0,-105.77977656080581,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.6570468198150567}",20,0,-36.32183838708635,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.6376281516217733}",25,12,12.472950410843836,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.6187833918061408}",20,10,-8.638747184286697,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
