trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-79.46726783127625,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-125.16214884019507,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-159.17705038452908,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.9139311852712282}",30,10,-58.778790213900464,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.6, 'e': 0.8869204367171575}",25,0,-107.92007632030734,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.8607079764250578}",25,8,-64.04073010841569,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.6, 'e': 0.835270211411272}",20,2,-77.12298084968164,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.6, 'e': 0.8105842459701871}",25,0,-146.71150990536503,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,0,-121.48834318532757,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.7633794943368531}",20,0,-51.256853150224316,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.6, 'e': 0.7408182206817179}",25,0,-96.09180922419641,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.7189237334319262}",20,0,-130.22073102261263,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.697676326071031}",30,0,-178.42180775741454,"{0: 19, 1: 2, 2: 3, 3: 4, 4: 2}",0
14,False,"{'a': 0.6, 'e': 0.6770568744981647}",20,0,-37.523396189583295,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.6570468198150567}",20,0,-78.95613059871935,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,6,-2.015545387881107,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
